R,224478
l,172460
s,163625
t,137066
d,136213
k,109337
p,99592.2
m,84730.2
n,68697.5
v,55717.6
f,37742.3
b,32199.8
Z,30945.7
z,24837.3
g,20713.5
S,15376.5
N,3336.64
G,60.47
r,1.87
c,1.61
x,0.97
